"game","airdate"
"1","2004-09-06"
"2","2004-09-17"
"3","2005-01-06"
"4","2001-10-12"
"5","2001-10-15"
"6","2001-10-16"
"7","2001-10-17"
"8","2001-10-18"
"9","2001-10-19"
"10","2000-07-12"
"11","2001-10-22"
"12","2001-10-23"
"13","2001-10-24"
"14","1987-11-17"
"15","2001-10-26"
"16","2000-07-13"
"17","2000-07-14"
"18","2006-06-05"
"19","2006-06-06"
"20","2000-07-05"
"21","2000-07-19"
"22","2006-06-07"
"23","2000-07-04"
"24","2006-06-08"
"25","2005-01-07"
"26","2001-10-29"
"27","2001-10-30"
"28","1990-09-08"
"29","2006-06-09"
"30","2006-06-12"
"31","2000-07-20"
"32","2001-11-05"
"33","2001-11-06"
"34","2001-11-07"
"35","2001-11-08"
"36","2005-01-10"
"37","2001-11-09"
"38","2001-11-12"
"45","2006-06-13"
"46","2000-07-21"
"47","2005-01-11"
"48","2006-06-14"
"49","2006-06-15"
"50","1999-01-12"
"51","2006-06-16"
"52","1999-01-13"
"53","1996-06-21"
"54","1999-01-14"
"55","1999-01-15"
"56","2006-06-19"
"57","1999-01-18"
"58","1987-11-18"
"59","1999-01-19"
"60","2006-06-20"
"61","2006-06-21"
"62","1996-06-24"
"63","1999-01-20"
"64","2001-11-21"
"65","2001-11-22"
"66","2001-11-23"
"67","2006-06-22"
"68","1999-01-21"
"69","2005-01-12"
"70","2006-06-23"
"71","1999-01-22"
"72","2001-11-26"
"73","2001-11-27"
"74","2001-11-28"
"75","2001-11-29"
"76","2001-11-30"
"77","1999-01-25"
"78","2006-06-26"
"79","1999-01-26"
"80","2005-01-13"
"81","1996-06-25"
"82","2006-06-27"
"83","2001-12-03"
"84","2001-12-04"
"85","2001-12-05"
"86","2001-12-06"
"87","2001-12-07"
"88","1999-01-27"
"89","2006-06-28"
"90","1999-01-28"
"91","2005-01-14"
"92","2006-06-29"
"93","1999-01-29"
"94","2006-06-30"
"95","2001-12-10"
"96","2001-12-11"
"97","2001-12-12"
"98","2001-12-13"
"99","2001-12-14"
"102","2005-01-17"
"104","2001-12-20"
"106","1999-02-01"
"107","2002-05-21"
"108","2002-05-22"
"111","1999-02-02"
"112","2006-07-03"
"113","2004-09-20"
"114","2005-01-18"
"115","2002-04-30"
"116","2002-05-16"
"117","2002-05-17"
"118","2002-05-20"
"119","1999-02-03"
"120","1999-02-04"
"121","2006-07-04"
"122","2006-07-05"
"123","1999-02-05"
"124","1999-02-08"
"125","2005-01-19"
"126","2006-07-07"
"127","2006-07-06"
"128","1999-02-09"
"129","1999-02-10"
"130","2006-07-10"
"131","1999-02-11"
"132","2006-07-11"
"133","1999-02-12"
"134","2006-07-12"
"135","1999-02-15"
"136","1987-11-19"
"140","2001-12-27"
"142","2006-07-13"
"143","1999-02-16"
"144","1999-02-17"
"145","1999-02-18"
"146","1999-02-19"
"147","2005-01-20"
"148","2006-07-14"
"158","2005-01-21"
"159","2002-01-04"
"160","1997-09-26"
"161","1997-09-29"
"162","1997-09-30"
"163","1997-10-01"
"164","1997-10-02"
"165","1997-10-03"
"166","1997-10-06"
"167","1997-10-09"
"168","1997-10-10"
"169","1987-11-20"
"175","1996-09-02"
"176","2006-07-17"
"177","2006-07-18"
"178","2006-07-19"
"179","2002-05-27"
"180","1986-01-13"
"181","2002-05-28"
"182","2002-05-29"
"183","2002-05-30"
"184","2002-05-31"
"185","2006-07-20"
"191","2005-01-24"
"192","2006-07-21"
"193","2006-07-24"
"194","2006-07-25"
"195","2006-07-26"
"196","2006-07-27"
"197","2006-07-28"
"198","1997-10-31"
"199","1997-11-24"
"200","1997-11-25"
"201","1997-11-26"
"202","2005-01-25"
"208","2003-06-13"
"209","1998-02-05"
"210","1998-02-06"
"211","2003-06-16"
